#"call_type","call_number","time_of_call","duration","acc_no","number_called"
"9","81102121","2010-02-18 18:10:01","60","SA-2011-03-25-8481366","+65 88288288"
"9","81102121","2010-02-18 19:10:01","300","SA-2011-03-25-8481366","+65 89298288"
"9","81102121","2010-02-18 20:10:01","500","SA-2011-03-25-8481366","+65 64288288"
"13","81102121","2010-02-18 21:10:01","123","SA-2011-03-25-8481366","+65 64288288"
"13","81102121","2010-02-18 22:10:01","400","SA-2011-03-25-8481366","+65 66666344"
"11","81102121","2010-02-18 18:10:01","3","SA-2011-03-25-8481366","+91 98966666344"
"9","81102020","2010-02-18 19:10:01","4","SA-2011-03-25-8481362","+65 66666344"
"9","81102020","2010-02-18 20:10:01","2","SA-2011-03-25-8481362","+65 66666344"
"13","81102020","2010-02-18 21:10:01","1","SA-2011-03-25-8481362","+65 66666344"
"9","81102020","2010-02-18 22:10:01","12","SA-2011-03-25-8481362","+65 64288288"
